text,label
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
I have been feeling really depressed for weeks and cannot get out of bed,Depression
My anxiety is so bad I cannot go to the grocery store,Anxiety
I feel completely worthless and like a burden to everyone,Depression
Panic attacks hit me every morning before work,Anxiety
I have been thinking about ending my life because nothing gets better,Suicidal
Today was actually okay I went for a walk and felt some hope,Normal
My mood swings from on top of the world to crashing into despair,Bipolar
I am so stressed about my job I cannot sleep at night,Stress
Feeling numb and disconnected from everyone I love,Depression
The depression makes even basic tasks feel impossible,Depression
I cannot concentrate on anything my anxiety takes over every thought,Anxiety
Some days I feel like things might actually get better,Normal
I have been isolating myself from friends and family for weeks,Depression
The intrusive thoughts wont stop no matter what I do,Anxiety
I feel a deep hopelessness that I cannot shake,Depression
Suicidal ideation has been getting worse and I am scared,Suicidal
I had a good therapy session today felt heard for once,Normal
Bipolar episodes make it hard to maintain relationships,Bipolar
PTSD flashbacks are happening more frequently since the trauma,Suicidal
I am overwhelmed by everything and feel like I am drowning,Stress
